,bigram,count,phrase_array,category_arrays
3515,"('018', '95')",2,018 95,[]
3516,"('013', '05')",2,013 05,[]
3517,"('735', '00')",2,735 00,[]
3518,"('20', 'per')",2,20 per,[]
3519,"('single', 'school')",2,single school,[]
3520,"('2000', 'seeking')",2,2000 seeking,['Competitive Bidding Violation - price not primary factor']
3521,"('2000', 'school')",2,2000 school,['Competitive Bidding Violation - price not primary factor']
3522,"('used', 'penalize')",2,used penalize,['Competitive Bidding Violation - price not primary factor']
3523,"('2000', 'cannot')",2,2000 cannot,['Competitive Bidding Violation - price not primary factor']
3524,"('68', 'per')",2,68 per,[]
3525,"('site', 'directly')",2,site directly,[]
3526,"('solution', '2')",2,solution 2,[]
3527,"('site', 'internet')",2,site internet,[]
3528,"('70', 'per')",2,70 per,[]
3529,"('site', 'moved')",2,site moved,[]
3530,"('690', '70')",2,690 70,[]
3531,"('7', 'phone')",2,7 phone,[]
3532,"('situations', 'price')",2,situations price,['Competitive Bidding Violation - price not primary factor']
3533,"('documentation', '1')",2,documentation 1,[]
3534,"('solution', '1')",2,solution 1,[]
3535,"('2000', 'awarded')",2,2000 awarded,['Competitive Bidding Violation - price not primary factor']
3536,"('2000', 'sent')",2,2000 sent,['Competitive Bidding Violation - price not primary factor']
3537,"('user', 'information')",2,user information,[]
3538,"('since', 'fcc')",2,since fcc,[]
3539,"('79766', 'result')",2,79766 result,[]
3540,"('2', 'agree')",2,2 agree,[]
3541,"('2012', '5')",2,2012 5,[]
3542,"('2', 'providers')",2,2 providers,[]
3543,"('8', 'lines')",2,8 lines,['Ineligible Service']
3544,"('shows', 'advance')",2,shows advance,['Competitive Bidding Violation - price not primary factor']
3545,"('shows', 'bid')",2,shows bid,['Competitive Bidding Violation - price not primary factor']
3546,"('2000', 'since')",2,2000 since,['Competitive Bidding Violation - price not primary factor']
3547,"('shows', 'decision')",2,shows decision,[]
3548,"('2', 'zayo')",2,2 zayo,[]
3549,"('shows', 'monthly')",2,shows monthly,['Competitive Bidding Violation - price not primary factor']
3550,"('796', '36')",2,796 36,[]
3551,"('user', 'seat')",2,user seat,[]
3552,"('solution', 'mr1')",2,solution mr1,[]
3553,"('20', '0')",2,20 0,['470 / 471 Mismatch']
3554,"('79', 'per')",2,79 per,[]
3555,"('2000', 'shows')",2,2000 shows,['Competitive Bidding Violation - price not primary factor']
3556,"('similar', 'documents')",2,similar documents,[]
3557,"('similar', 'specs')",2,similar specs,['Competitive Bidding Violation - price not primary factor']
3558,"('users', 'excessive')",2,users excessive,[]
3559,"('76', 'per')",2,76 per,[]
3560,"('20', '2016')",2,20 2016,[]
3561,"('since', 'bids')",2,since bids,['Competitive Bidding Violation - price not primary factor']
3562,"('029', '66')",2,029 66,[]
3563,"('179915642', 'amp')",2,179915642 amp,[]
3564,"('also', 'service')",2,also service,[]
3565,"('17011113', '17011116')",2,17011113 17011116,[]
3566,"('17011117', '17011121')",2,17011117 17011121,[]
3567,"('17011121', '17011127')",2,17011121 17011127,[]
3568,"('17011127', '17011129')",2,17011127 17011129,[]
3569,"('17011129', '17011130')",2,17011129 17011130,[]
3570,"('1699029624', '001')",2,1699029624 001,[]
3571,"('agency', 'lea')",2,agency lea,[]
3572,"('17011130', '17011134')",2,17011130 17011134,[]
3573,"('agency', 'commonwealth')",2,agency commonwealth,[]
3574,"('17011134', '17011138')",2,17011134 17011138,[]
3575,"('17011138', '17011141')",2,17011138 17011141,[]
3576,"('administrator’s', 'pattern')",2,administrator’s pattern,[]
3577,"('17011141', '17011145')",2,17011141 17011145,[]
3578,"('administrative', 'fee')",2,administrative fee,[]
3579,"('17011145', '17011146')",2,17011145 17011146,[]
3580,"('17011146', '17011147')",2,17011146 17011147,[]
3581,"('17011147', '17011148')",2,17011147 17011148,[]
3582,"('service', 'toll')",2,service toll,[]
3583,"('17011148', '17011149')",2,17011148 17011149,[]
3584,"('17011149', 'requesting')",2,17011149 requesting,[]
3585,"('17011152', '17011107')",2,17011152 17011107,[]
3586,"('vendors', 'would')",2,vendors would,['Competitive Bidding Violation - price not primary factor']
3587,"('548', '31')",2,548 31,[]
3588,"('036', '90')",2,036 90,[]
3589,"('17011116', '17011117')",2,17011116 17011117,[]
3590,"('17011112', '17011113')",2,17011112 17011113,[]
3591,"('03', 'month')",2,03 month,[]
3592,"('service', 'rate')",2,service rate,['Competitive Bidding Violation - price not primary factor']
3593,"('also', 'required')",2,also required,[]
3594,"('038', '56')",2,038 56,[]
3595,"('17011105', '17011152')",2,17011105 17011152,[]
3596,"('also', 'included')",2,also included,[]
3597,"('service', 'per')",2,service per,[]
3598,"('allowed', 'non')",2,allowed non,[]
3599,"('532', '30')",2,532 30,[]
3600,"('allowed', 'key')",2,allowed key,[]
3601,"('17011107', '17011108')",2,17011107 17011108,[]
3602,"('17011108', '17011109')",2,17011108 17011109,[]
3603,"('allowable', 'contract')",2,allowable contract,['Competitive Bidding Violation']
3604,"('service', 'product')",2,service product,[]
3605,"('17011109', '17011110')",2,17011109 17011110,[]
3606,"('17011110', '17011111')",2,17011110 17011111,[]
3607,"('allow', '28')",2,allow 28,[]
3608,"('17011111', '17011112')",2,17011111 17011112,[]
3609,"('service', 'program')",2,service program,[]
3610,"('21', 'per')",2,21 per,['Competitive Bidding Violation']
3611,"('st', 'mary')",2,st mary,[]
3612,"('036', '96')",2,036 96,[]
3613,"('allocation', 'worksheet')",2,allocation worksheet,[]
3614,"('service', 'providerfor')",2,service providerfor,[]
3615,"('036', '95')",2,036 95,[]
3616,"('552', '96')",2,552 96,[]
3617,"('vendors', 'evaluation')",2,vendors evaluation,['Competitive Bidding Violation - price not primary factor']
3618,"('17014322', 'meet')",2,17014322 meet,[]
3619,"('56', '400')",2,56 400,[]
3620,"('services', 'based')",2,services based,['Ineligible Service']
3621,"('1799092779', 'correct')",2,1799092779 correct,[]
3622,"('2017', 'form')",2,2017 form,[]
3623,"('services', 'ca')",2,services ca,[]
3624,"('services', 'category')",2,services category,[]
3625,"('services', 'cellular')",2,services cellular,[]
3626,"('speed', 'criterions')",2,speed criterions,['Competitive Bidding Violation - price not primary factor']
3627,"('2017', '10')",2,2017 10,[]
3628,"('specs', 'provided')",2,specs provided,['Competitive Bidding Violation - price not primary factor']
3629,"('access', 'fiber')",2,access fiber,['Missing documentation needed to determine eligible service']
3630,"('specs', 'likewise')",2,specs likewise,['Competitive Bidding Violation - price not primary factor']
3631,"('access', 'connection')",2,access connection,[]
3632,"('030', '98')",2,030 98,[]
3633,"('specs', 'communicated')",2,specs communicated,['Competitive Bidding Violation - price not primary factor']
3634,"('services', 'cyber')",2,services cyber,[]
3635,"('access', '7')",2,access 7,[]
3636,"('6', '20')",2,6 20,['Red light rule violation']
3637,"('access', '1')",2,access 1,[]
3638,"('acceptable', 'therefore')",2,acceptable therefore,[]
3639,"('2016', 'contract')",2,2016 contract,[]
3640,"('services', 'documentation')",2,services documentation,[]
3641,"('able', 'complete')",2,able complete,[]
3642,"('specifications', 'communicated')",2,specifications communicated,['Competitive Bidding Violation - price not primary factor']
3643,"('access', 'transport')",2,access transport,[]
3644,"('58', 'per')",2,58 per,[]
3645,"('services', 'applicants')",2,services applicants,['Competitive Bidding Violation - price not primary factor']
3646,"('1799045594', 'duplicates')",2,1799045594 duplicates,[]
3647,"('56', 'per')",2,56 per,[]
3648,"('171041363', 'modified')",2,171041363 modified,[]
3649,"('560', '00')",2,560 00,['Missing documentation needed to determine eligible service']
3650,"('1799006128', '001')",2,1799006128 001,[]
3651,"('1799044780', 'modified')",2,1799044780 modified,[]
3652,"('serviceprovider', 'webby')",2,serviceprovider webby,[]
3653,"('services', '12')",2,services 12,[]
3654,"('services', '16')",2,services 16,[]
3655,"('add', 'omitted')",2,add omitted,[]
3656,"('21', '2016')",2,21 2016,[]
3657,"('actions', 'performed')",2,actions performed,[]
3658,"('spin', '143019354')",2,spin 143019354,['Competitive Bidding Violation']
3659,"('action', 'inc')",2,action inc,[]
3660,"('services', '24')",2,services 24,[]
3661,"('564', '96')",2,564 96,[]
3662,"('1699032399', 'new')",2,1699032399 new,[]
3663,"('1699032499', 'frn')",2,1699032499 frn,[]
3664,"('accounted', 'points')",2,accounted points,['Competitive Bidding Violation - price not primary factor']
3665,"('vendor', 'rate')",2,vendor rate,[]
3666,"('vendor', 'prior')",2,vendor prior,[]
3667,"('57', '77')",2,57 77,[]
3668,"('vendor', 'documents')",2,vendor documents,[]
3669,"('school', 'evaluation')",2,school evaluation,['Competitive Bidding Violation - price not primary factor']
3670,"('bidding', 'documents')",2,bidding documents,['Competitive Bidding Violation - specified vendor in 470']
3671,"('building', 'bridges')",2,building bridges,[]
3672,"('1', '010')",2,1 010,[]
3673,"('cost', 'modified')",2,cost modified,[]
3674,"('without', 'documents')",2,without documents,[]
3675,"('time', 'allow')",2,time allow,[]
3676,"('cost', 'category')",2,cost category,['Missing documentation needed to determine eligible service']
3677,"('cost', 'analysis')",2,cost analysis,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
3678,"('cost', 'agree')",2,cost agree,[]
3679,"('requirement', 'applicants')",2,requirement applicants,['Competitive Bidding Violation - price not primary factor']
3680,"('requirement', 'communicated')",2,requirement communicated,['Competitive Bidding Violation - price not primary factor']
3681,"('3', 'internet')",2,3 internet,[]
3682,"('support', 'mr1')",2,support mr1,[]
3683,"('requirement', 'listed')",2,requirement listed,[]
3684,"('1', '013')",2,1 013,[]
3685,"('420', '00')",2,420 00,[]
3686,"('3', '408')",2,3 408,[]
3687,"('correspondence', 'vendors')",2,correspondence vendors,['Competitive Bidding Violation - price not primary factor']
3688,"('correspondence', 'provided')",2,correspondence provided,['Competitive Bidding Violation - price not primary factor']
3689,"('requirement', 'post')",2,requirement post,[]
3690,"('without', 'criteria')",2,without criteria,['Competitive Bidding Violation']
3691,"('support', 'frn')",2,support frn,[]
3692,"('3', '356')",2,3 356,[]
3693,"('17000460', '17008786')",2,17000460 17008786,[]
3694,"('correct', 'numbers')",2,correct numbers,[]
3695,"('cost', 'oc')",2,cost oc,[]
3696,"('required', 'provided')",2,required provided,[]
3697,"('40', 'service')",2,40 service,[]
3698,"('created', 'individualrepresenting')",2,created individualrepresenting,[]
3699,"('custom', 'calling')",2,custom calling,[]
3700,"('1', '030')",2,1 030,[]
3701,"('criterions', 'time')",2,criterions time,['Competitive Bidding Violation - price not primary factor']
3702,"('criterions', 'thus')",2,criterions thus,['Competitive Bidding Violation - price not primary factor']
3703,"('criterions', 'cannot')",2,criterions cannot,['Competitive Bidding Violation - price not primary factor']
3704,"('requests', 'pre')",2,requests pre,[]
3705,"('criteria', 'download')",2,criteria download,['Competitive Bidding Violation - price not primary factor']
3706,"('16051553', 'tri')",2,16051553 tri,[]
3707,"('created', 'josh')",2,created josh,[]
3708,"('thus', 'price')",2,thus price,['Competitive Bidding Violation - price not primary factor']
3709,"('created', 'evaluation')",2,created evaluation,[]
3710,"('cost', 'product')",2,cost product,[]
3711,"('created', 'consultation')",2,created consultation,[]
3712,"('1', '025')",2,1 025,[]
3713,"('without', 'including')",2,without including,[]
3714,"('county', 'community')",2,county community,[]
3715,"('could', 'changed')",2,could changed,[]
3716,"('require', 'service')",2,require service,[]
3717,"('30', '502')",2,30 502,[]
3718,"('required', 'post')",2,required post,[]
3719,"('cost', 'recovery')",2,cost recovery,[]
3720,"('cost', 'recover')",2,cost recover,[]
3721,"('1', '006')",2,1 006,[]
3722,"('correct', 'fcc')",2,correct fcc,[]
3723,"('corp', 'added')",2,corp added,[]
3724,"('17003955', '17003956')",2,17003955 17003956,[]
3725,"('3', '18')",2,3 18,['Competitive Bidding Violation - 28 day failure']
3726,"('17003950', '17003951')",2,17003950 17003951,[]
3727,"('17003951', '17003954')",2,17003951 17003954,[]
3728,"('45', '00')",2,45 00,['Missing documentation needed to determine eligible service']
3729,"('17003954', '17003955')",2,17003954 17003955,[]
3730,"('45', 'min')",2,45 min,[]
3731,"('construction', 'dark')",2,construction dark,[]
3732,"('response', 'administrator’s')",2,response administrator’s,[]
3733,"('16054648', '16060391')",2,16054648 16060391,[]
3734,"('consistent', 'federal')",2,consistent federal,[]
3735,"('17003956', '17003957')",2,17003956 17003957,[]
3736,"('cordillera', 'barrio')",2,cordillera barrio,[]
3737,"('considered', 'fcc')",2,considered fcc,['Competitive Bidding Violation - price not primary factor']
3738,"('17003957', '17003958')",2,17003957 17003958,[]
3739,"('consideration', 'frn')",2,consideration frn,['Competitive Bidding Violation - price not primary factor']
3740,"('17003958', '17003959')",2,17003958 17003959,[]
3741,"('consider', 'relevant')",2,consider relevant,['Competitive Bidding Violation - price not primary factor']
3742,"('17003959', '17003960')",2,17003959 17003960,[]
3743,"('450', '90')",2,450 90,[]
3744,"('17003960', '17003962')",2,17003960 17003962,[]
3745,"('consider', 'evaluate')",2,consider evaluate,[]
3746,"('17003962', '17003963')",2,17003962 17003963,[]
3747,"('3', '200')",2,3 200,"['Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Missing documentation needed to determine eligible service']"
3748,"('construction', 'split')",2,construction split,[]
3749,"('contact', 'listed')",2,contact listed,[]
3750,"('contactinformation', 'form')",2,contactinformation form,[]
3751,"('copy', 'invoice')",2,copy invoice,['No signed contract in place']
3752,"('copper', 'service')",2,copper service,[]
3753,"('copper', 'cable')",2,copper cable,[]
3754,"('copies', 'competitive')",2,copies competitive,[]
3755,"('17000491', 'eligible')",2,17000491 eligible,[]
3756,"('support', 'exempt')",2,support exempt,[]
3757,"('copies', 'bid')",2,copies bid,[]
3758,"('requirements', 'elementary')",2,requirements elementary,[]
3759,"('contractual', 'agree')",2,contractual agree,[]
3760,"('contract', 'voice')",2,contract voice,['No signed contract in place']
3761,"('contract', 'service')",2,contract service,[]
3762,"('contract', 'number')",2,contract number,[]
3763,"('support', 'dr3')",2,support dr3,['Applicant ineligible']
3764,"('contract', 'extensions')",2,contract extensions,[]
3765,"('wire', 'mainenance')",2,wire mainenance,[]
3766,"('bundled', 'program')",2,bundled program,[]
3767,"('contract', 'date')",2,contract date,['Competitive Bidding Violation']
